     newmarcs                       50     5000.    0.03   0.   0.
   -0.34000E+01     2188.  -0.619099E+01  -0.371107E+00   0.200000E+06
   -0.33000E+01     2203.  -0.609920E+01  -0.283090E+00   0.200000E+06
   -0.32000E+01     2219.  -0.600518E+01  -0.192931E+00   0.200000E+06
   -0.31000E+01     2236.  -0.590828E+01  -0.100225E+00   0.200000E+06
   -0.30000E+01     2253.  -0.580868E+01  -0.491244E-02   0.200000E+06
   -0.29000E+01     2273.  -0.570693E+01   0.913261E-01   0.200000E+06
   -0.28000E+01     2294.  -0.560052E+01   0.190177E+00   0.200000E+06
   -0.27000E+01     2316.  -0.549230E+01   0.290748E+00   0.200000E+06
   -0.26000E+01     2336.  -0.538504E+01   0.392516E+00   0.200000E+06
   -0.25000E+01     2359.  -0.527476E+01   0.495340E+00   0.200000E+06
   -0.24000E+01     2383.  -0.516285E+01   0.598869E+00   0.200000E+06
   -0.23000E+01     2408.  -0.504956E+01   0.702863E+00   0.200000E+06
   -0.22000E+01     2434.  -0.493511E+01   0.807702E+00   0.200000E+06
   -0.21000E+01     2461.  -0.481959E+01   0.912927E+00   0.200000E+06
   -0.20000E+01     2490.  -0.470334E+01   0.101829E+01   0.200000E+06
   -0.19000E+01     2519.  -0.458637E+01   0.112352E+01   0.200000E+06
   -0.18000E+01     2549.  -0.446889E+01   0.122858E+01   0.200000E+06
   -0.17000E+01     2579.  -0.435134E+01   0.133337E+01   0.200000E+06
   -0.16000E+01     2611.  -0.423354E+01   0.143730E+01   0.200000E+06
   -0.15000E+01     2643.  -0.411594E+01   0.154004E+01   0.200000E+06
   -0.14000E+01     2676.  -0.399893E+01   0.164124E+01   0.200000E+06
   -0.13000E+01     2710.  -0.388257E+01   0.174088E+01   0.200000E+06
   -0.12000E+01     2743.  -0.376815E+01   0.183860E+01   0.200000E+06
   -0.11000E+01     2777.  -0.365369E+01   0.193407E+01   0.200000E+06
   -0.10000E+01     2812.  -0.354056E+01   0.202711E+01   0.200000E+06
   -0.90000E+00     2848.  -0.342828E+01   0.211753E+01   0.200000E+06
   -0.80000E+00     2884.  -0.331664E+01   0.220524E+01   0.200000E+06
   -0.70000E+00     2922.  -0.320532E+01   0.229021E+01   0.200000E+06
   -0.60000E+00     2961.  -0.309347E+01   0.237225E+01   0.200000E+06
   -0.50000E+00     3003.  -0.297970E+01   0.245119E+01   0.200000E+06
   -0.40000E+00     3048.  -0.286295E+01   0.252705E+01   0.200000E+06
   -0.30000E+00     3100.  -0.274153E+01   0.259981E+01   0.200000E+06
   -0.20000E+00     3159.  -0.261108E+01   0.266896E+01   0.200000E+06
   -0.10000E+00     3229.  -0.246922E+01   0.273410E+01   0.200000E+06
    0.00000E+00     3313.  -0.231447E+01   0.279493E+01   0.200000E+06
    0.10000E+00     3413.  -0.214810E+01   0.285120E+01   0.200000E+06
    0.20000E+00     3531.  -0.197373E+01   0.290325E+01   0.200000E+06
    0.30000E+00     3672.  -0.179889E+01   0.295199E+01   0.200000E+06
    0.40000E+00     3836.  -0.163157E+01   0.299869E+01   0.200000E+06
    0.50000E+00     4030.  -0.147090E+01   0.304500E+01   0.200000E+06
    0.60000E+00     4252.  -0.131688E+01   0.309156E+01   0.200000E+06
    0.70000E+00     4505.  -0.117536E+01   0.314090E+01   0.200000E+06
    0.80000E+00     4791.  -0.965225E+00   0.319100E+01   0.200000E+06
    0.90000E+00     5115.  -0.614838E+00   0.323131E+01   0.200000E+06
    0.10000E+01     5478.  -0.180181E+00   0.325658E+01   0.200000E+06
    0.11000E+01     5896.   0.317649E+00   0.327065E+01   0.200000E+06
    0.12000E+01     6314.   0.709714E+00   0.327812E+01   0.200000E+06
    0.13000E+01     6634.   0.998856E+00   0.328261E+01   0.200000E+06
    0.14000E+01     6882.   0.120045E+01   0.328574E+01   0.200000E+06
    0.15000E+01     7070.   0.134932E+01   0.328848E+01   0.200000E+06
