  # Teff/K      logg   Mass/Msun logL/Lsun
      3091      5.20   0.1176540   -2.7817
      3395      4.84   0.4139160   -1.7165
      3665      4.72   0.5548530   -1.3314
      3934      4.67   0.6305030   -1.0998
      4268      4.62   0.7071130   -0.8606
      4521      4.59   0.7575940   -0.7030
      4815      4.56   0.8145530   -0.5277
      5103      4.51   0.8740540   -0.3500
      5410      4.43   0.9449000   -0.1342
      5694      4.19   1.0677230    0.2562
      5276      3.92   1.1169800    0.4051
      4800      3.53   1.1312090    0.6390
      4353      2.37   1.1435300    1.6358
      3925      1.56   1.1449920    2.2680
      3455      0.73   1.1454570    2.8769
      3018     -0.04   1.1460540    3.4064
