  # Teff/K      logg   Mass/Msun logL/Lsun
      3166      5.29   0.1049020   -2.8731
      3769      4.75   0.5225360   -1.3392
      4347      4.65   0.6604450   -0.8852
      4974      4.60   0.7704910   -0.5316
      5542      4.51   0.8805420   -0.1978
      6136      4.15   1.0782240    0.4286
      5562      3.84   1.1314000    0.5872
      4991      3.49   1.1471190    0.7569
      4413      2.11   1.1639830    1.9252
      3864      1.13   1.1654740    2.6739
      3281      0.13   1.1659070    3.3886
