  # Teff/K      logg   Mass/Msun logL/Lsun
      3290      5.34   0.1031590   -2.8683
      3615      4.97   0.3055960   -1.8571
      3933      4.79   0.4615420   -1.3607
      4257      4.71   0.5345400   -1.0770
      4631      4.68   0.5892930   -0.8546
      4911      4.66   0.6271580   -0.7035
      5271      4.62   0.6770250   -0.5084
      5589      4.56   0.7241340   -0.3242
      5916      4.46   0.7823690   -0.0860
      6242      4.19   0.8657870    0.3248
      5921      3.91   0.8912550    0.5233
      5591      3.78   0.8961200    0.5538
      5272      3.53   0.9010680    0.7018
      4940      2.61   0.9097720    1.5164
      4621      1.96   0.9115170    2.0489
      4304      1.40   0.9119890    2.4887
      3984      0.85   0.9121990    2.9028
      3652      0.27   0.9123120    3.3290
